Column1.1,Column1.2.1,Column1.2.2,Column1.2.3,Column1.3,Column1.4,Column1.5,Column1.6,Column1.7
Name,Networking - MAC Address,,,Alternate Username,Racks - Position,Networking - Network names,Racks - Name,
CREIC-085,34:40:b5:bb:17:24,34:40:b5:bb:17:21,34:40:b5:bb:17:22,node-101,42,,B6,
CREIC-086,34:40:b5:bb:2f:84,34:40:b5:bb:2f:81,34:40:b5:bb:2f:82,node-102,41,,B6,
CREIC-087,34:40:b5:bb:2c:c0,34:40:b5:bb:2c:bd,34:40:b5:bb:2c:be,node-103,40,,B6,
CREIC-088,34:40:b5:bb:15:38,34:40:b5:bb:15:35,34:40:b5:bb:15:36,node-104,39,,B6,
CREIC-089,40:f2:e9:02:30:19,40:f2:e9:02:30:16,40:f2:e9:02:30:17,node-105,38,,B6,
CREIC-090,34:49:b5:bb:18:98,34:49:b5:bb:18:95,34:49:b5:bb:18:96,node-106,37,,B6,
CREIC-091,34:40:b5:ba:ef:4e,34:40:b5:ba:ef:4b,34:40:b5:ba:ef:4c,node-107,36,,B6,
CREIC-092,40:f2:e9:02:30:df,40:f2:e9:02:30:dc,40:f2:e9:02:30:dd,node-108,35,,B6,
CREIC-093,34:40:b5:bc:dc:2c,34:40:b5:bc:dc:29,34:40:b5:bc:dc:2a,node-109,34,,B6,
CREIC-094,34:40:b5:bb:13:5e,34:40:b5:bb:13:5b,34:40:b5:bb:13:5c,node-110,33,,B6,
CREIC-095,34:40:b5:bb:10:82,34:40:b5:bb:10:7f,34:40:b5:bb:10:80,node-111,32,,B6,
CREIC-096,34:40:b5:bb:12:62,34:40:b5:bb:12:5f,34:40:b5:bb:12:60,node-112,31,,B6,
CREIC-097,34:40:b5:bb:2f:30,34:40:b5:bb:2f:2d,34:40:b5:bb:2f:2e,node-113,30,,B6,
CREIC-098,34:40:b5:bb:2f:48,34:40:b5:bb:2f:45,34:40:b5:bb:2f:46,node-114,29,,B6,
CREIC-099,34:40:b5:bb:18:86,34:40:b5:bb:18:83,34:40:b5:bb:18:84,node-115,28,,B6,
CREIC-100,34:40:b5:bb:18:1a,34:40:b5:bb:18:17,34:40:b5:bb:18:18,node-116,27,,B6,
CREIC-101,34:40:b5:bb:2f:9c,34:40:b5:bb:2f:99,34:40:b5:bb:2f:9a,node-117,26,,B6,
CREIC-102,34:40:b5:bb:2f:42,34:40:b5:bb:2f:3f,34:40:b5:bb:2f:40,node-118,25,,B6,
CREIC-103,34:40:b5:bb:19:1c,34:40:b5:bb:19:19,34:40:b5:bb:19:1a,node-119,24,,B6,
CREIC-104,34:40:b5:bb:1a:66,34:40:b5:bb:1a:63,34:40:b5:bb:1a:64,node-120,23,,B6,
CREIC-105,34:40:b5:bb:16:b2,34:40:b5:bb:16:af,34:40:b5:bb:16:b0,node-121,22,,B6,
CREIC-106,34:40:b5:bb:16:16,34:40:b5:bb:16:13,34:40:b5:bb:16:14,node-122,21,,B6,
CREIC-107,34:40:b5:bb:14:36,34:40:b5:bb:14:33,34:40:b5:bb:14:34,node-123,20,,B6,
CREIC-108,34:40:b5:bb:13:70,34:40:b5:bb:13:6d,34:40:b5:bb:13:6e,node-124,19,,B6,
CREIC-109,34:40:b5:bb:19:a0,34:40:b5:bb:19:9d,34:40:b5:bb:19:9e,node-125,18,,B6,
CREIC-110,34:40:b5:ba:fc:8c,34:40:b5:ba:fc:89,34:40:b5:ba:fc:8a,node-126,17,,B6,
CREIC-111,34:40:b5:bb:13:a6,34:40:b5:bb:13:a3,34:40:b5:bb:13:a4,node-127,16,,B6,
CREIC-112,34:40:b5:bb:15:14,34:40:b5:bb:15:11,34:40:b5:bb:15:12,node-128,15,,B6,
CREIC-113,34:40:b5:bb:14:60,34:40:b5:bb:14:5d,34:40:b5:bb:14:5e,node-129,14,,B6,
CREIC-114,34:40:b5:bb:14:48,34:40:b5:bb:14:45,34:40:b5:bb:14:46,node-130,13,,B6,
CREIC-115,34:40:b5:bb:0c:fd,34-40-b5-bb-0c-fe,34-40-b5-bb-0d-00,node-201,43,eno1<br>jenny-manage<br>jenny-manage,B6,
CREIC-116,34:40:b5:bb:17:59,34:40:b5:bb:17:57,34-40-b5-bb-17-58,node-202,42,jenny-manage<br>jenny-manage<br>jenny-manage,B6,
CREIC-117,34:40:b5:bb:1a:ea,34:40:b5:bb:1a:e7,34-40-b5-bb-1a-e8,node-203,41,jenny-manage<br>jenny-manage<br>jenny-manage,B6,
CREIC-118,34:40:b5:bb:1a:e4,34:40:b5:bb:1a:e1,34:40:b5:bb:1a:e2,node-204,40,,B6,
CREIC-119,34-40-b5-bb-1b-5b,34-40-b5-bb-1b-59,34-40-b5-bb-1b-5a,node-205,39,jenny-manage<br>jenny-manage<br>jenny-manage,B6,
CREIC-121,34-40-b5-bb-15-c1,34:40:b5:bb:15:bf,34-40-b5-bb-15-c0,node-207,37,jenny-manage<br>jenny-manage<br>jenny-manage,B6,
CREIC-122,34-40-b5-bb-16-d5,34:40:b5:bb:16:d3,34-40-b5-bb-16-d4,node-208,36,jenny-manage<br>jenny-manage<br>jenny-manage,B6,
CREIC-123,34-40-b5-bb-13-f9,34-40-b5-bb-13-f7,34-40-b5-bb-13-f8,node-209,35,jenny-manage<br>jenny-manage<br>jenny-manage,B6,
CREIC-124,34:40:b5:bb:07:89,34:40:b5:bb:07:87,34-40-b5-bb-07-88,node-210,34,jenny-manage<br>jenny-manage<br>jenny-manage,B6,
CREIC-125,34-40-b5-bb-17-83,34:40:b5:bb:17:81,34-40-b5-bb-17-82,node-211,33,jenny-manage<br>jenny-manage<br>jenny-manage,B6,
CREIC-126,40-f2-e9-02-2f-6a,40:f2:e9:02:2f:68,40-f2-e9-02-2f-69,node-212,32,jenny-manage<br>jenny-manage<br>jenny-manage,B6,
CREIC-127,34:40:b5:bb:15:a9,34:40:b5:bb:15:a7,34-40-b5-bb-15-a8,node-213,31,<br>jenny-manage<br>jenny-manage,B6,
CREIC-128,34:40:b5:bb:14:f0,34:40:b5:bb:14:ed,34:40:b5:bb:14:ee,node-214,30,<br>jenny-manage<br>jenny-manage,B6,
CREIC-129,34:40:b5:bb:29:5a,34:40:b5:bb:29:57,34:40:b5:bb:29:58,node-215,29,<br>jenny-manage<br>jenny-manage,B6,
CREIC-130,34:40:b5:bb:2f:ab,34:40:b5:bb:2f:a5,34:40:b5:bb:2f:a6,node-216,28,,B6,
CREIC-131,34-40-b5-bb-16-f4,34:40:b5:bb:16:f1,34:40:b5:bb:16:f,node-217,27,,B6,
CREIC-132,34:40:b5:bb:16:40,34:40:b5:bb:16:3d,34:40:b5:bb:16:3e,node-218,26,,B6,
CREIC-133,34:40:b5:bb:14:c5,34:40:b5:bb:14:c3,34:40:b5:bb:14:c4,node-219,25,,B6,
CREIC-134,40:f2:e9:02:72:c4,40:f2:e9:02:72:c2,40:f2:e9:02:72:c3,node-220,24,,B6,
CREIC-135,34:40:b5:bb:12:e6,34:40:b5:bb:12:e3,34:40:b5:bb:12:e4,node-221,23,,B6,
CREIC-136,34-40-b5-bb-1b-74,34-40-b5-bb-1b-71,34-40-b5-bb-1b-72,node-222,22,,B6,
CREIC-137,34:40:b5:bb:14:66,34:40:b5:bb:14:63,34:40:b5:bb:14:64,node-223,21,,B6,
CREIC-138,34:40:b5:bb:13:94,34:40:b5:bb:13:91,34:40:b5:bb:13:92,node-224,20,,B6,
CREIC-139,34-40-b5-bb-15-1a,34-40-b5-bb-15-17,34-40-b5-bb-15-18,node-225,19,,B6,
CREIC-140,34-40-b5-bb-13-d0,34-40-b5-bb-13-cd,34-40-b5-bb-13-ce,node-226,18,,B6,
CREIC-141,34-40-b5-bb-14-54,34-40-b5-bb-14-51,34-40-b5-bb-14-52,node-227,17,,B6,
CREIC-142,34:40:b5:bb:14:de,34:40:b5:bb:14:db,34:40:b5:bb:14:dc,node-228,16,,B6,
CREIC-143,34:40:b5:bb:19:57,34:40:b5:bb:19:55,34:40:b5:bb:19:56,node-229,15,,B6,
CREIC-144,34:40:b5:bb:19:2e,34:40:b5:bb:19:2b,34:40:b5:bb:19:2c,node-230,14,,B6,
CREIC-145,34:40:b5:bb:18:7a,34:40:b5:bb:18:77,34:40:b5:bb:18:78,node-231,13,,B6,
CREIC-146,34-40-b5-bb-18-e0,34-40-b5-bb-18-dd,34-40-b5-bb-18-de,node-232,12,,B6,
CREIC-147,,34:40:b5:bb:15:53,,node-206,38,,B6,
