Name;Networking - MAC Address;Alternate Username;Racks - Position;Networking - Network names;Components - Network Interfaces;
CREIC-001;34:40:b5:ba:0c:dd;34:40:b5:ba:0c:da;34:40:b5:ba:0c:db;node-301;42;;;
CREIC-002;34:40:b5:ba:0d:6f;34:40:b5:ba:0d:6c;34:40:b5:ba:0d:6d;node-302;41;;;
CREIC-003;34:40:b5:ba:11:a8;34:40:b5:ba:11:a5;34:40:b5:ba:11:a6;node-303;40;;;
CREIC-004;34:40:b5:ba:08:9d;34:40:b5:ba:08:9a;34:40:b5:ba:08:9b;node-304;39;;;
CREIC-005;34:40:b5:ba:b3:75;34:40:b5:ba:b3:72;34:40:b5:ba:b3:73;node-305;38;;;
CREIC-006;34:40:b5:ba:bc:1d;34:40:b5:ba:bc:1a;34:40:b5:ba:bc:1b;node-306;37;;;
CREIC-221;34:40:b5:bb:0d:8e;34:40:b5:bb:0d:8b;34:40:b5:bb:0d:8c;node-307;36;;;
CREIC-008;34:40:b5:ba:75:ae;34:40:b5:ba:75:ab;34:40:b5:ba:75:ac;node-308;35;;;
CREIC-009;34:40:b5:ba:07:42;34:40:b5:ba:07:3f;34:40:b5:ba:07:40;node-309;34;;;
CREIC-010;34:40:b5:ba:29:eb;34:40:b5:ba:29:e8;34:40:b5:ba:29:e9;node-310;33;;;
CREIC-011;34:40:b5:ba:2a:da;34:40:b5:ba:2a:d7;34:40:b5:ba:2a:d8;node-311;32;;;
CREIC-012;34:40:b5:ba:0e:ab;34:40:b5:ba:0e:a8;34:40:b5:ba:0e:a9;node-312;31;;;
CREIC-013;34:40:b5:ba:bd:d9;34:40:b5:ba:bd:d6;34:40:b5:ba:bd:d7;node-313;30;;;
CREIC-014;34:40:b5:ba:bd:33;34:40:b5:ba:bd:30;34:40:b5:ba:bd:31;node-314;29;;;
CREIC-015;34:40:b5:b9:00:04;34:40:b5:b9:00:01;34:40:b5:b9:00:02;node-315;28;;;
CREIC-016;34:40:b5:b9:30:5a;34:40:b5:b9:30:57;34:40:b5:b9:30:58;node-316;27;;;
CREIC-017;34:40:b5:ba:18:ae;34:40:b5:ba:18:ab;34:40:b5:ba:18:ac;node-317;26;;;
CREIC-018;34:40:b5:b9:fc:2f;34:40:b5:b9:fc:2c;34:40:b5:b9:fc:2d;node-318;25;;;
CREIC-019;34:40:b5:ba:39:41;34:40:b5:ba:39:3e;node-319;24;;;
CREIC-020;34:40:b5:ba:39:8d;34:40:b5:ba:39:8a;34:40:b5:ba:39:8b;node-320;23;;;
CREIC-021;34:40:b5:ba:ca:27;34:40:b5:ba:ca:24;34:40:b5:ba:ca:25;node-321;22;;;
CREIC-022;34:40:b5:ba:ca:6b;34:40:b5:ba:ca:68;34:40:b5:ba:ca:69;node-322;21;;;
CREIC-023;34:40:b5:ba:38:b7;34:40:b5:ba:38:b4;34:40:b5:ba:38:b5;node-323;20;;;
CREIC-024;34:40:b5:ba:39:20;34:40:b5:ba:39:1d;34:40:b5:ba:39:1e;node-324;19;;;
CREIC-025;34:40:b5:b9:db:c7;34:40:b5:b9:db:c4;34:40:b5:b9:db:c5;node-325;18;;;
CREIC-026;40:f2:e9:02:7a:f1;40:f2:e9:02:7a:ee;40:f2:e9:02:7a:ef;node-326;17;;;
CREIC-027;34:40:b5:ba:12:54;34:40:b5:ba:12:51;34:40:b5:ba:12:52;node-327;16;;;
CREIC-028;34:40:b5:ba:12:6c;34:40:b5:ba:12:69;34:40:b5:ba:12:6a;node-328;15;;;
CREIC-029;34:40:b5:ba:aa:fe;34:40:b5:ba:aa:fb;34:40:b5:ba:aa:fc;node-329;14;;;
CREIC-030;34:40:b5:ba:c3:38;34:40:b5:ba:c3:35;34:40:b5:ba:c3:36;node-330;13;;;
CREIC-031;34:40:b5:ba:09:db;34:40:b5:ba:09:d8;34:40:b5:ba:09:d9;node-331;12;;;
CREIC-032;40:f2:e9:05:23:b1;40:f2:e9:05:23:ae;40:f2:e9:05:23:af;node-332;11;;;
CREIC-033;34:40:b5:b9:ff:17;34:40:b5:b9:ff:14;34:40:b5:b9:ff:15;node-333;10;;;
CREIC-034;34:40:b5:ba:28:f3;34:40:b5:ba:28:f0;34:40:b5:ba:28:f1;node-334;9;;;
CREIC-035;34:40:b5:ba:37:32;34:40:b5:ba:37:2f;34:40:b5:ba:37:30;node-335;8;;;
CREIC-036;34:40:b5:ba:37:a3;34:40:b5:ba:37:a0;34:40:b5:ba:37:a1;node-336;7;;;
CREIC-037;34:40:b5:ba:18:ee;34:40:b5:ba:18:eb;34:40:b5:ba:18:ec;node-337;6;;;
CREIC-038;34:40:b5:ba:17:f3;34:40:b5:ba:17:f0;34:40:b5:ba:17:f1;node-338;5;;;
CREIC-039;34:40:b5:ba:bf:96;34:40:b5:ba:bf:93;34:40:b5:ba:bf:94;node-339;4;;;
CREIC-040;34:40:b5:ba:be:2b;34:40:b5:ba:be:28;34:40:b5:ba:be:29;node-340;3;;;
CREIC-041;34:40:b5:ba:17:27;34:40:b5:ba:17:24;34:40:b5:ba:17:25;node-341;2;;;
CREIC-042;34:40:b5:ba:18:34;34:40:b5:ba:18:31;34:40:b5:ba:18:32;node-342;1;;;
