Column1.1,Column1.2.1,Column1.2.2,Column1.2.3,Column1.3
Name,Networking - MAC Address,,,Alternate Username
CREIC-085,34:40:b5:bb:17:24,34:40:b5:bb:17:21,34:40:b5:bb:17:22,node-101
CREIC-086,34:40:b5:bb:2f:84,34:40:b5:bb:2f:81,34:40:b5:bb:2f:82,node-102
CREIC-087,34:40:b5:bb:2c:c0,34:40:b5:bb:2c:bd,34:40:b5:bb:2c:be,node-103
CREIC-088,34:40:b5:bb:15:38,34:40:b5:bb:15:35,34:40:b5:bb:15:36,node-104
CREIC-089,40:f2:e9:02:30:19,40:f2:e9:02:30:16,40:f2:e9:02:30:17,node-105
CREIC-090,34:49:b5:bb:18:98,34:49:b5:bb:18:95,34:49:b5:bb:18:96,node-106
CREIC-091,34:40:b5:ba:ef:4e,34:40:b5:ba:ef:4b,34:40:b5:ba:ef:4c,node-107
CREIC-092,40:f2:e9:02:30:df,40:f2:e9:02:30:dc,40:f2:e9:02:30:dd,node-108
CREIC-093,34:40:b5:bc:dc:2c,34:40:b5:bc:dc:29,34:40:b5:bc:dc:2a,node-109
CREIC-094,34:40:b5:bb:13:5e,34:40:b5:bb:13:5b,34:40:b5:bb:13:5c,node-110
CREIC-095,34:40:b5:bb:10:82,34:40:b5:bb:10:7f,34:40:b5:bb:10:80,node-111
CREIC-096,34:40:b5:bb:12:62,34:40:b5:bb:12:5f,34:40:b5:bb:12:60,node-112
CREIC-097,34:40:b5:bb:2f:30,34:40:b5:bb:2f:2d,34:40:b5:bb:2f:2e,node-113
CREIC-098,34:40:b5:bb:2f:48,34:40:b5:bb:2f:45,34:40:b5:bb:2f:46,node-114
CREIC-099,34:40:b5:bb:18:86,34:40:b5:bb:18:83,34:40:b5:bb:18:84,node-115
CREIC-100,34:40:b5:bb:18:1a,34:40:b5:bb:18:17,34:40:b5:bb:18:18,node-116
CREIC-101,34:40:b5:bb:2f:9c,34:40:b5:bb:2f:99,34:40:b5:bb:2f:9a,node-117
CREIC-102,34:40:b5:bb:2f:42,34:40:b5:bb:2f:3f,34:40:b5:bb:2f:40,node-118
CREIC-103,34:40:b5:bb:19:1c,34:40:b5:bb:19:19,34:40:b5:bb:19:1a,node-119
CREIC-104,34:40:b5:bb:1a:66,34:40:b5:bb:1a:63,34:40:b5:bb:1a:64,node-120
CREIC-105,34:40:b5:bb:16:b2,34:40:b5:bb:16:af,34:40:b5:bb:16:b0,node-121
CREIC-106,34:40:b5:bb:16:16,34:40:b5:bb:16:13,34:40:b5:bb:16:14,node-122
CREIC-107,34:40:b5:bb:14:36,34:40:b5:bb:14:33,34:40:b5:bb:14:34,node-123
CREIC-108,34:40:b5:bb:13:70,34:40:b5:bb:13:6d,34:40:b5:bb:13:6e,node-124
CREIC-109,34:40:b5:bb:19:a0,34:40:b5:bb:19:9d,34:40:b5:bb:19:9e,node-125
CREIC-110,34:40:b5:ba:fc:8c,34:40:b5:ba:fc:89,34:40:b5:ba:fc:8a,node-126
CREIC-111,34:40:b5:bb:13:a6,34:40:b5:bb:13:a3,34:40:b5:bb:13:a4,node-127
CREIC-112,34:40:b5:bb:15:14,34:40:b5:bb:15:11,34:40:b5:bb:15:12,node-128
CREIC-113,34:40:b5:bb:14:60,34:40:b5:bb:14:5d,34:40:b5:bb:14:5e,node-129
CREIC-114,34:40:b5:bb:14:48,34:40:b5:bb:14:45,34:40:b5:bb:14:46,node-130
